English;Español
Waiting 'til marriage;Pas avant le mariage
A tiny horse;Un petit cheval
A can of whoop-ass;Une grosse branlée de derrière les fagots
Dental dams;Les digues dentaires
Feeding Rosie O'Donnell;Nourrir Valérie Damidot
Old-people smell;L'odeur des vieux
Genghis Khan;Genghis Khan
Authentic Mexican cuisine;La cuisine mexicaine authentique
Oversized lollipops;Les sucettes géantes
Garth Brooks;Pascal Obispo
Keanu Reeves;Keanu Reeves
Drinking alone;Boire seul
The American Dream;Le rêve américain
Taking off your shirt;Enlever son T-Shirt
Giving 110%;Se donner à 110%
Flesh-eating bacteria;"Une bactérie ""mangeuse de chair"""
Child abuse;La maltraitance sur mineurs
A cooler full of organs;Une glacière remplie d'organes
A moment of silence;Un moment de silence
The Rapture;La fin du monde
Keeping Christ in Chrismas;Rendre Noël aux chrétiens
Robocop ;Robocop
That one gay Teletubby;Le Teletubby qui est gay là.
Sweet, sweet vengeance;Une vengeance bien méritée
Fancy Feast;Royal Canin
Pooping back and forth. Forever.;Poop back and forth, forever ))<>((
Being a motherfucking sorcerer;Etre un putain de sorcier
Jewish fraternities;Les communautés juives
Edible underpants;Des sous-vêtements comestibles
Poor people;Les pauvres
All-you-can-eat shrimps for $4.99;Un buffet de crevettes à volonté pour 5 euros
Britney Spears at 55;Britney Spears à 55 ans
That thing that electrocutes your abs;Ce truc qui électrocutes tes abdos
The folly of man;La folie de l'homme
Fiery poops;Un étron fougueux
Cards Against Humanity;Cards Against Humanity
A murder most foul;Un meurtre des plus répugnants
Me time;Du temps à moi
The inevitable heat death of the universe;L'inévitable mort thermique de l'univers
Nocturnal emissions;Des pollutions nocturnes
Daddy issues;Le complexe d'Electre
The hardworking Mexican;Les Maghrébins bosseurs
Natalie Portman;Natalie Portman
Waking up half-naked in a Denny's parking lot;Se réveiller le cul à l'air sur le parking du McDo
Nipple blades;Un piercing au téton
Assless chaps;Les combi-shorts
Full frontal nudity;La nudité totale
Hulk Hogan;Hulk Hogan
Passive-aggression;Le comportement passif-aggressif
Ronald Reagan;Jacques Chirac
Vehicular manslaughter;Renverser quelqu'un en voiture
Menstruation;Les menstruations
Pulling out;Se retirer
Picking up girls at the abortion clinic;Chopper des filles à la sortie du centre IVG
The homosexual agenda;Le programme secret des homosexuels
The Holy Bible;La Sainte Bible
World peace;La paix dans le monde
Dropping a chandelier on your enemies and riding the rope up;Faire tomber un chandelier sur ses ennemis et monter avec la corde
Testicular torsion;Une crampe testiculaire
The milk man;Le facteur
A time-travel paradox;Un paradoxe de voyage temporel
Hot Pockets;Les nouilles instantanées
Guys who don't call;Les mecs qui ne rappellent pas
Eating the last known bison;Manger le dernier bison vivant
Darth Vader;Dark Vador
Scalping;Le scalp
Homeless people;Les SDF
The Worlds of Warcraft;WOW
Gloryholes;Les Gloryholes
Saxophone solos;Les solos de sax
Sean Connery;Sean Connery
God;Dieu
Intelligent design;Le dessein intelligent
"The taint; the grundle, the fleshy fun-bridge";
Friendly fire;Les tirs de son propre camp
Keg stands;Le jeu des caps
Eugenics;L'eugénisme
A good sniff;
Lockjaw;
A neglected Tamagotchi;Un Tamagotchi négligé
The People's Elbow;
Robert Downey Jr.;Robert Downey Jr.
The heart of a child;Le coeur d'un enfant
Seduction;La séduction
Smallpox blankets;Des couvertures infectées de variole
Licking things to claim them as your own;Lécher les choses pour dire qu'elles t'appartiennent
A salty surprise;Une surprise salée
Poorly-timed Holocaust jokes;Les blagues sur la Shoah au mauvais moment
My soul;Mon âme
My sex life;Ma vie sexuelle
Pterodactyl eggs;Des oeufs de pterodactyl
Altar boys;Les enfants de choeur
Forgetting the Alamo;Oublier la bataille de Verdun
72 virgins;72 vierges
Raping and pillaging;Le viol et le pillage
Pedophiles;Les pédophiles
Eastern European Turbo-Folk music;Le turbo-folk des Balkans
A snapping turtle biting the tip of your penis;Une tortue alligator mordant le bout de ton gland
Pabst Blue Ribbon;Une 1664
Domino's Oreo Dessert Pizza;Un burger bacon/foie gras
My collection of high-tech sex toys;Ma collection de sextoys hi-tech
A middle-aged man on roller skates;Un quadra sur des rollers
The Blood of Christ;Le Sang de Christ
Half-assed foreplay;Des préliminaires torchés
Free samples;Les échantillons gratuits
Douchebags on their iPhones;Les connards sur leur iPhone
Hurricane Katrina;La tempête Cynthia
Wearing underwear inside-out to avoid doing laundry;Retourner son slip pour faire moins de lessive
Republicans;L'UMP
The glass ceiling;Le plafond de verre
A foul mouth;Une personne grossière
Jerking off into a pool of children's tears;Se branler dans une piscine de larmes d'enfants
Getting really high;Etre foncedé
The deformed;
Michelle Obama's arms;Les jambes de Carla Bruni
Explosions;Des explosions
The Übermensch;Les Surhommes
Donald Trump;Donald Trump
Sarah Palin;Segolène Royal
Attitude;Le comportement
This answer is postmodern;Cette réponse est postmoderne
Crumpets with the Queen;Des crumpets avec la Reine
Frolocking;
Team-building exercises;Des exercices de team-building
Repression;Le refoulement
Road head;Une pipe au volant
A bag of magic beans;Un sac de haricots magiques
An asymmetric boob job;Des seins refaits à la truelle
Dead parents;Des parents morts
Public ridicule;Le ridicule en public
A mating display;Un dispositif de reproduction
A mime having a stroke;Un mime qui a une crise cardiaque
Stephen Hawking talking dirty;Stephen Hawking parlant sale
African Children;Les petits Africains
Mouth herpes;L'herpès buccal
Overcompensation;La surcompensation
Bill Nye the Science Guy;Mac Lesggy
Bitches;Les pétasses
Italians;Les Italiens
Have some more kugel;Avec ou sans patates ?
A windmill full of corpses;Un moulin rempli de cadavres
Her Royal Highness, Queen Elizabeth II;Sa Majesté la Reine Elizabeth II
Crippling debt;Une dette accablante
Adderall;Les nootropiques
A stray pube;Un poil de cul vagabond
Shorties and blunts;Des putes et des gros cigares
Passing a kidney stone;Avoir des calculs rénaux
Prancing;S'agiter
Leprosy;La lèpre
A brain tumor;Une tumeur au cerveau
Bees ?;Kamoulox ?
Puppies !;Des chatons !
Cockfights;
Kim Jong-Il;Kim Jong-Il
Hope;L'espoir
9oz. of sweet Mexican black-tar heroin;9 onces de bonne héroïne black-tar mexicaine
Incest;L'inceste
Grave robbing;Le pillage de tombes
Asians who aren't good at math;Les Asiats qui ne sont pas bons en maths
Alcoholism;L'alcoolisme
(I am doing Kegels right now.);(Je suis en train de faires mes exercices de Kegel là)
Justin Bieber;Justin Bieber
The Jews;Les Juifs
Bestiality;La zoophilie
Winking at old people;Faire des clins d'oeil aux vieux
Drum circles;Des Djembe-Man
Kids with ass cancer;Des gamins avec un cancer du cul
Loose lips;Une langue bien pendue
Auschwitz;Auschwitz
Civilian casualties;Des victimes civiles
Inappropriate yodeling;Du yodel inapproprié
Tangled Slinkys;Des écouteurs emmêlés
Being on fire;Etre chaud bouillant
The Thong Song;The Thong Song
A vajazzled vagina;Un ticket de métro
Riding off into the sunset;Partir à cheval vers le soleil couchant
Exchanging pleasantries;Échanger des politesses
My relationship status;Mon statut Facebook
Shaquille O'Neal's acting career;La carrière d'acteur d'Eric Cantona
Being fabulous;Avoir la classe
Lactation;La lactation
Not reciprocating oral sex;Sexe oral non réciproque
Sobbing into a Hungry-Man Frozen Dinner;
My genitals;Mes parties génitales
Date rape;
Ring Pops;Les Malabars
GoGurt;Du Yop
Judge Judy;Julie Lescaut
Lumberjack fantasies;Les fantasmes sur les bûcherons
The gays;Les homos
Scientology;La Scientologie
Estrogen;Les oestrogènes
Police brutality;La violence policière
Passable transvestites;Les travelos cheaps
The Virginia Tech Massacre;Le petit Gregory
Tiger Woods;Franck Ribery
Dick Fingers;Avoir deux mains gauches
Racism;Le racisme
Glenn Beck being harried by a swarm of buzzards;Jean-Pierre Pernaud
Surprise sex !;Sexe surprise !
Classist undertones;Les sous-entendus sur les classes sociales
Booby-trapping the house to foil burglars;Piéger la maison pour déjouer les voleurs
New Age music;La musique New Age
PCP;Le LSD
A lifetime of sadness;Une vie de tristesse
Doin't it in the butt;Le faire par derrière
Swooping;Avoir la suasse
The Hamburglar;Hamburglar
Tentacle porn;Le porno avec des tentacules
A hot mess;Un beau bordel
Too much hair gel;Le Pento
A look-see;Une inspection profonde
Not giving a shit about the Third World;Ne rien avoir à branler des pauvres
American Gladiators;Fort Boyard
The Kool-Aid Man;Jean Mineur
Mr. Snuffleupagus;Babar
Barack Obama;Barack Obama
Golden showers;Les douches dorées
Wiping her butt;Essuyer le cul de sa chère et tendre
Queefing;Les pets de fouffe
Getting drunk on mouthwash;Se bourrer la gueule au sirop pour la toux
A M. Night Shyamalan plot twist;Un retournement de situation à la M. Night Shyamalan
A robust mongoloid;Un mongolien costaud
Nazis;Nazis
White privilege;La préférence aux Blancs
An erection that lasts longer than four hours;Une érection qui dure plus de 4 heures
A disappointing birthday party;Un anniversaire décevant
Puberty;La puberté
Two midgets shitting into a bucket;2 nains qui chient dans un seau
Wifely duties;Les devoirs d'épouse
The forbidden fruit;Le fruit défendu
Getting so angry that you pop a boner;Bander de colère
Sexual tension;La tension sexuelle
Third base;Jouer à touche-pipi
A gassy antelope;La mouche qui pète
Those times when you get sand in your vagina;Ces fois où tu finis avec du sable dans la fente
A Super Soaker full of cat pee;Une serpillière gorgée de pisse de chat
Muhammad (Praise Be Unto Him);Mohammed (Que la paix et la bénédiction de Dieu soient sur Lui)
Racially-biased SAT questions;Les sondages orientés ethniquement
Porn stars;Les stars du porno
A fetus;Un foetus
Obesity;L'obésité
When you fart and a little bit comes out;Un petchié ou prout-chié
Oompa-Loompas;Les nains de Fort Boyard
BATMAN!!!;BATMAN
Black people;Les Noirs
Tasteful sideboob;Un décolleté du meilleur goût
Hot people;Les beaux gosses
Grandma;Mamie
Cooping a feel;Un pelotage surprise
The Trail of Tears;Le STO
Famine;La faim dans le monde
Finger painting;La peinture au doigt
The miracle of childbirth;Le miracle de la naissance
Goats eating cans;Des dauphins étouffés par des sacs plastiques
A monkey smoking a cigar;Un singe fumant un cigare
Faith healing;L'eau de Lourdes
Parting the Red Sea;La traversée de la Mer Rouge
Dead babies;Des bébés morts
The Amish;Les décroissants du Larzac
Impotence;L'impuissance
Child beauty pageants;Les concours de beauté pour enfants
Centaurs;Les centaures
AXE Body Spray;Le déo Axe
Kanye West;Florent Pagny
Women's suffrage;Le droit de vote des femmes
Children on leashes;Les enfants en laisse
Harry Potter erotica;Les fan-fictions érotiques sur Harry Potter
The Dance of the Sugar Plum Fairy;Pierre et le Loup
Lance Armstrong's missing testicle;La couille manquante de Lance Armstrong
Dwarf tossing;Le lancer de nains
Mathletes;Les fans des Chiffres et des Lettres
Lunchables;Les instant-noodles
Women in yogurt commercials;Les femmes des pubs de yaourt
John Wilkes Booth;Emile Louis
Powerful thighs;Des cuisses puisssantes
Mr Clean, right behind you;Mr Propre, derrière toi
Multiple stab wounds;De multiples blessures au couteau
Cybernetic enhancements;Les améliorations cybernétiques
Serfdom;Le servage
Another goddamn vampire movie;Encore un autre putain de film de vampires
Glenn Beck catching his scrotum on a curtain hook;Cauet
A big hoopla about nothing;Beaucoup de bruit pour rien
Peeing a little bit;Faire une petite goutte
The Hustle;La Tektonik
Ghosts;Des Fantômes
Bananas in Pajamas;Les Pokemons
Active listening;L'écoute active
Dry heaving;Vomir de la bile
Kamikaze pilots;Les kamikazes
The Force;La Force
Anal beads;Les perles anales
The Make-A-Wish Foundation;L'opération Pièces Jaunes
;La Pasta.
;Mimie Mathy nue
;Rachida Dati
;Un développeur de pénis suédois
;Les roux (surtout quand il pleut)
;Des hémorroïdes
;Un rallye
;Le régime Dukan
;Les fonctionnaires
